id,path,overall,intonation,tone,timing,technique
4ca22ca1_21,data/audio/4ca22ca1_21.wav,4,4,4,4,3
4ca22ca1_23,data/audio/4ca22ca1_23.wav,3,4,4,4,3
4ca22ca1_7,data/audio/4ca22ca1_7.wav,4,4,3,4,4
4ca22ca1_8,data/audio/4ca22ca1_8.wav,4,4,4,5,4
4f38bc73_0,data/audio/4f38bc73_0.wav,3,2,2,3,3
502c008f_0,data/audio/502c008f_0.wav,4,3,4,4,5
54cc3e7c_0,data/audio/54cc3e7c_0.wav,2,2,1,2,2
54cc3e7c_1,data/audio/54cc3e7c_1.wav,1,1,1,1,1
54cc3e7c_2,data/audio/54cc3e7c_2.wav,1,1,1,1,1
54cc3e7c_3,data/audio/54cc3e7c_3.wav,1,2,1,1,2
54cc3e7c_4,data/audio/54cc3e7c_4.wav,1,2,2,1,1
54cc3e7c_5,data/audio/54cc3e7c_5.wav,1,1,1,2,1
56ab2455_1,data/audio/56ab2455_1.wav,1,1,1,1,1
570eaa61_1,data/audio/570eaa61_1.wav,4,4,4,5,5
570eaa61_6,data/audio/570eaa61_6.wav,1,2,1,1,1
570eaa61_8,data/audio/570eaa61_8.wav,4,5,4,5,4
570eaa61_9,data/audio/570eaa61_9.wav,4,4,3,4,4
5d37668b_12,data/audio/5d37668b_12.wav,4,3,4,3,4
5d37668b_14,data/audio/5d37668b_14.wav,4,2,4,5,3
5d37668b_16,data/audio/5d37668b_16.wav,3,2,3,4,5
5d37668b_29,data/audio/5d37668b_29.wav,4,4,4,3,4
5d37668b_32,data/audio/5d37668b_32.wav,3,2,4,4,4
5d37668b_9,data/audio/5d37668b_9.wav,4,4,3,4,4
5f792cf5_0,data/audio/5f792cf5_0.wav,4,4,4,4,4
5f792cf5_3,data/audio/5f792cf5_3.wav,3,3,4,4,4
5f792cf5_4,data/audio/5f792cf5_4.wav,4,5,3,5,4
5f792cf5_5,data/audio/5f792cf5_5.wav,4,4,4,4,3
61f0dbb1_1,data/audio/61f0dbb1_1.wav,3,4,4,4,3
648d870e_0,data/audio/648d870e_0.wav,4,4,2,4,4
648d870e_15,data/audio/648d870e_15.wav,5,5,4,5,5
648d870e_3,data/audio/648d870e_3.wav,2,2,3,4,3
648d870e_5,data/audio/648d870e_5.wav,4,4,4,4,3
648d870e_8,data/audio/648d870e_8.wav,3,3,4,5,4
6693dc70_2,data/audio/6693dc70_2.wav,4,5,5,5,4
6693dc70_3,data/audio/6693dc70_3.wav,4,4,4,4,5
6693dc70_8,data/audio/6693dc70_8.wav,4,4,4,5,4
6693dc70_9,data/audio/6693dc70_9.wav,3,2,4,5,5
6a09e010_13,data/audio/6a09e010_13.wav,1,2,3,1,2
6a09e010_14,data/audio/6a09e010_14.wav,3,4,4,2,2
6a09e010_17,data/audio/6a09e010_17.wav,1,2,1,1,1
6a09e010_6,data/audio/6a09e010_6.wav,3,2,3,4,4
6a09e010_9,data/audio/6a09e010_9.wav,4,4,5,4,5
6ad549ad_1,data/audio/6ad549ad_1.wav,1,1,1,2,1
73c40361_1,data/audio/73c40361_1.wav,5,4,5,5,4
73c40361_2,data/audio/73c40361_2.wav,4,3,4,3,4
73c40361_5,data/audio/73c40361_5.wav,2,2,3,3,2
73c40361_9,data/audio/73c40361_9.wav,4,4,4,3,4
7728d41e_0,data/audio/7728d41e_0.wav,4,4,4,4,3
7728d41e_4,data/audio/7728d41e_4.wav,2,4,4,3,1
7728d41e_7,data/audio/7728d41e_7.wav,2,2,2,2,2
77dbaa3e_12,data/audio/77dbaa3e_12.wav,4,4,4,4,5
77dbaa3e_13,data/audio/77dbaa3e_13.wav,4,4,3,5,4
77dbaa3e_14,data/audio/77dbaa3e_14.wav,3,3,3,5,2
77dbaa3e_16,data/audio/77dbaa3e_16.wav,3,4,3,3,4
77dbaa3e_20,data/audio/77dbaa3e_20.wav,4,3,5,4,4
77dbaa3e_25,data/audio/77dbaa3e_25.wav,4,4,4,5,4
8000ae14_0,data/audio/8000ae14_0.wav,5,5,4,5,5
80753fc3_10,data/audio/80753fc3_10.wav,3,2,4,4,4
80753fc3_12,data/audio/80753fc3_12.wav,3,3,5,4,3
80753fc3_15,data/audio/80753fc3_15.wav,2,2,3,2,2
80753fc3_2,data/audio/80753fc3_2.wav,4,5,4,3,4
80753fc3_22,data/audio/80753fc3_22.wav,4,3,3,5,4
80753fc3_24,data/audio/80753fc3_24.wav,3,5,4,5,5
80753fc3_5,data/audio/80753fc3_5.wav,4,3,4,3,3
82f4bf36_11,data/audio/82f4bf36_11.wav,5,5,5,4,4
82f4bf36_8,data/audio/82f4bf36_8.wav,4,4,4,5,5
8447dad3_14,data/audio/8447dad3_14.wav,4,4,4,4,2
8447dad3_2,data/audio/8447dad3_2.wav,4,5,4,4,4
8447dad3_8,data/audio/8447dad3_8.wav,4,4,4,4,4
8ab19718_1,data/audio/8ab19718_1.wav,2,2,3,5,3
8ab19718_2,data/audio/8ab19718_2.wav,2,2,2,1,2
8ab19718_9,data/audio/8ab19718_9.wav,2,2,2,2,4
8b993d14_2,data/audio/8b993d14_2.wav,5,5,5,5,5
8b993d14_21,data/audio/8b993d14_21.wav,4,3,5,5,5
8f355ec0_0,data/audio/8f355ec0_0.wav,3,2,2,2,4
8f355ec0_15,data/audio/8f355ec0_15.wav,4,4,4,4,4
8f355ec0_22,data/audio/8f355ec0_22.wav,1,3,1,3,1
8f355ec0_24,data/audio/8f355ec0_24.wav,4,4,4,3,3
8f355ec0_8,data/audio/8f355ec0_8.wav,3,3,3,4,4
96920d9d_0,data/audio/96920d9d_0.wav,5,4,5,5,5
98c36515_0,data/audio/98c36515_0.wav,3,3,3,3,2
98c36515_1,data/audio/98c36515_1.wav,3,3,3,4,2
a16b4b27_0,data/audio/a16b4b27_0.wav,2,3,2,4,2
a16b4b27_2,data/audio/a16b4b27_2.wav,4,3,3,4,4
a16b4b27_3,data/audio/a16b4b27_3.wav,4,3,4,4,4
a16b4b27_8,data/audio/a16b4b27_8.wav,5,5,5,5,5
a84845ab_0,data/audio/a84845ab_0.wav,3,2,3,4,2
a84845ab_1,data/audio/a84845ab_1.wav,4,4,4,4,5
a9a9082e_3,data/audio/a9a9082e_3.wav,4,4,4,4,4
a9a9082e_5,data/audio/a9a9082e_5.wav,5,4,5,5,5
a9a9082e_6,data/audio/a9a9082e_6.wav,4,4,4,3,3
b69fa6c8_0,data/audio/b69fa6c8_0.wav,5,5,4,5,5
bb36f796_0,data/audio/bb36f796_0.wav,1,2,1,1,1
bb36f796_1,data/audio/bb36f796_1.wav,1,2,2,2,1
bb36f796_2,data/audio/bb36f796_2.wav,1,2,1,2,1
bb36f796_3,data/audio/bb36f796_3.wav,1,2,1,2,1
bcc0a66c_2,data/audio/bcc0a66c_2.wav,2,2,4,1,1
be634a7c_13,data/audio/be634a7c_13.wav,2,2,3,3,3
be634a7c_15,data/audio/be634a7c_15.wav,4,4,4,4,2
be634a7c_18,data/audio/be634a7c_18.wav,3,3,4,4,3
be634a7c_4,data/audio/be634a7c_4.wav,3,3,3,4,3
c2da0567_2,data/audio/c2da0567_2.wav,4,4,4,5,4
c734fdb8_19,data/audio/c734fdb8_19.wav,3,3,4,5,4
c734fdb8_21,data/audio/c734fdb8_21.wav,4,4,4,4,3
c734fdb8_28,data/audio/c734fdb8_28.wav,5,5,5,5,5
c734fdb8_40,data/audio/c734fdb8_40.wav,2,3,4,4,2
c734fdb8_41,data/audio/c734fdb8_41.wav,5,5,4,5,5
c734fdb8_44,data/audio/c734fdb8_44.wav,3,2,4,3,4
c734fdb8_5,data/audio/c734fdb8_5.wav,5,5,4,5,5
c734fdb8_6,data/audio/c734fdb8_6.wav,2,2,1,3,3
d134069e_15,data/audio/d134069e_15.wav,5,5,5,5,4
d134069e_22,data/audio/d134069e_22.wav,5,4,4,5,5
d134069e_5,data/audio/d134069e_5.wav,4,4,4,5,5
d134069e_7,data/audio/d134069e_7.wav,5,4,5,5,5
d1a15fe5_0,data/audio/d1a15fe5_0.wav,4,3,3,4,5
d1a15fe5_8,data/audio/d1a15fe5_8.wav,5,5,4,5,5
d25af788_5,data/audio/d25af788_5.wav,1,1,1,4,2
d8206c30_0,data/audio/d8206c30_0.wav,1,1,1,2,1
e1a1909a_2,data/audio/e1a1909a_2.wav,4,2,4,4,4
e2bf9fb4_19,data/audio/e2bf9fb4_19.wav,2,2,3,2,2
e2bf9fb4_21,data/audio/e2bf9fb4_21.wav,4,3,4,4,5
e2bf9fb4_24,data/audio/e2bf9fb4_24.wav,5,5,4,5,5
e2bf9fb4_26,data/audio/e2bf9fb4_26.wav,2,4,1,4,3
e2bf9fb4_30,data/audio/e2bf9fb4_30.wav,3,4,4,2,2
e2bf9fb4_8,data/audio/e2bf9fb4_8.wav,4,3,2,5,4
ea7a0339_15,data/audio/ea7a0339_15.wav,3,3,3,4,4
ea7a0339_17,data/audio/ea7a0339_17.wav,5,5,5,5,5
ea7a0339_2,data/audio/ea7a0339_2.wav,3,2,3,5,3
ea7a0339_25,data/audio/ea7a0339_25.wav,4,3,2,3,3
ea7a0339_3,data/audio/ea7a0339_3.wav,2,2,1,4,3
ea7a0339_4,data/audio/ea7a0339_4.wav,5,4,4,4,5
ea7a0339_6,data/audio/ea7a0339_6.wav,4,4,4,5,4
ea7a0339_8,data/audio/ea7a0339_8.wav,4,3,4,5,5
ee8120e7_2,data/audio/ee8120e7_2.wav,1,2,1,2,2
f02a1cbc_0,data/audio/f02a1cbc_0.wav,2,2,2,2,1
fa454b35_13,data/audio/fa454b35_13.wav,2,1,1,3,2
fa7f4981_0,data/audio/fa7f4981_0.wav,2,2,3,4,3
fa7f4981_1,data/audio/fa7f4981_1.wav,3,2,3,4,4
fa7f4981_2,data/audio/fa7f4981_2.wav,2,2,3,4,3
fa7f4981_3,data/audio/fa7f4981_3.wav,2,2,2,4,3
fbeda344_0,data/audio/fbeda344_0.wav,1,1,1,2,1
fcc7433b_16,data/audio/fcc7433b_16.wav,4,5,5,4,3
fcc7433b_21,data/audio/fcc7433b_21.wav,2,1,2,2,2
fcc7433b_4,data/audio/fcc7433b_4.wav,4,2,4,3,4
fcf4a449_3,data/audio/fcf4a449_3.wav,2,1,3,4,1
