id,path,overall,intonation,tone,timing,technique,is_valid
3ea977b6_0,data/audio/3ea977b6_0.wav,4,5,4,4,3,1
3ea977b6_2,data/audio/3ea977b6_2.wav,3,2,4,4,4,1
3ea977b6_3,data/audio/3ea977b6_3.wav,2,4,4,2,2,1
3ea977b6_7,data/audio/3ea977b6_7.wav,4,4,5,4,5,1
3f97469c_0,data/audio/3f97469c_0.wav,2,2,2,4,2,1
476d6fc7_2,data/audio/476d6fc7_2.wav,3,2,4,4,3,1
476d6fc7_3,data/audio/476d6fc7_3.wav,5,3,4,4,5,1
476d6fc7_9,data/audio/476d6fc7_9.wav,3,3,3,4,2,1
488ea46a_0,data/audio/488ea46a_0.wav,4,4,4,4,3,1
488ea46a_1,data/audio/488ea46a_1.wav,4,4,3,4,3,1
499e4ffc_17,data/audio/499e4ffc_17.wav,1,2,2,2,2,1
499e4ffc_2,data/audio/499e4ffc_2.wav,2,2,1,2,2,1
499e4ffc_3,data/audio/499e4ffc_3.wav,3,2,4,4,4,1
4adffe94_0,data/audio/4adffe94_0.wav,1,2,1,3,2,1
4ca22ca1_13,data/audio/4ca22ca1_13.wav,3,2,2,4,5,1
4ca22ca1_17,data/audio/4ca22ca1_17.wav,3,2,4,3,4,1
4ca22ca1_19,data/audio/4ca22ca1_19.wav,4,4,4,4,3,1
4ca22ca1_21,data/audio/4ca22ca1_21.wav,4,4,4,4,3,1
4ca22ca1_23,data/audio/4ca22ca1_23.wav,3,4,4,4,3,1
4ca22ca1_7,data/audio/4ca22ca1_7.wav,4,4,3,4,4,1
4ca22ca1_8,data/audio/4ca22ca1_8.wav,4,4,4,5,4,1
4d3a9839_0,data/audio/4d3a9839_0.wav,1,1,1,2,1,1
4f38bc73_0,data/audio/4f38bc73_0.wav,3,2,2,3,3,1
502c008f_0,data/audio/502c008f_0.wav,4,3,4,4,5,1
54cc3e7c_0,data/audio/54cc3e7c_0.wav,2,2,1,2,2,1
54cc3e7c_0,data/audio/54cc3e7c_0.wav,2,2,1,2,2,1
54cc3e7c_1,data/audio/54cc3e7c_1.wav,1,1,1,1,1,1
54cc3e7c_1,data/audio/54cc3e7c_1.wav,1,1,1,1,1,1
54cc3e7c_2,data/audio/54cc3e7c_2.wav,1,1,1,1,1,1
54cc3e7c_2,data/audio/54cc3e7c_2.wav,1,1,1,1,1,1
54cc3e7c_3,data/audio/54cc3e7c_3.wav,1,2,1,1,2,1
54cc3e7c_3,data/audio/54cc3e7c_3.wav,1,2,1,1,2,1
54cc3e7c_4,data/audio/54cc3e7c_4.wav,1,2,2,1,1,1
54cc3e7c_4,data/audio/54cc3e7c_4.wav,1,2,2,1,1,1
54cc3e7c_5,data/audio/54cc3e7c_5.wav,1,1,1,2,1,1
54cc3e7c_5,data/audio/54cc3e7c_5.wav,1,1,1,2,1,1
56ab2455_1,data/audio/56ab2455_1.wav,1,1,1,2,1,1
570eaa61_1,data/audio/570eaa61_1.wav,4,4,4,5,5,1
570eaa61_6,data/audio/570eaa61_6.wav,1,2,1,1,1,1
570eaa61_8,data/audio/570eaa61_8.wav,4,5,4,5,4,1
570eaa61_9,data/audio/570eaa61_9.wav,4,4,3,4,4,1
5d37668b_12,data/audio/5d37668b_12.wav,4,3,4,3,4,1
5d37668b_14,data/audio/5d37668b_14.wav,4,2,4,5,3,1
5d37668b_16,data/audio/5d37668b_16.wav,3,2,3,4,5,1
5d37668b_29,data/audio/5d37668b_29.wav,4,4,4,3,4,1
5d37668b_32,data/audio/5d37668b_32.wav,3,2,4,4,4,1
5d37668b_9,data/audio/5d37668b_9.wav,4,4,3,4,4,1
5f792cf5_0,data/audio/5f792cf5_0.wav,4,4,4,4,4,1
5f792cf5_3,data/audio/5f792cf5_3.wav,3,3,4,4,4,1
5f792cf5_4,data/audio/5f792cf5_4.wav,4,5,3,5,4,1
5f792cf5_5,data/audio/5f792cf5_5.wav,4,4,4,4,3,1
61f0dbb1_1,data/audio/61f0dbb1_1.wav,3,4,4,4,3,1
648d870e_0,data/audio/648d870e_0.wav,4,4,2,4,4,1
648d870e_15,data/audio/648d870e_15.wav,5,5,4,5,5,1
648d870e_3,data/audio/648d870e_3.wav,2,2,3,4,3,1
648d870e_5,data/audio/648d870e_5.wav,4,4,4,4,3,1
648d870e_8,data/audio/648d870e_8.wav,3,3,4,5,4,1
6618fdad_0,data/audio/6618fdad_0.wav,4,5,4,3,2,1
6693dc70_2,data/audio/6693dc70_2.wav,4,5,5,5,4,1
6693dc70_3,data/audio/6693dc70_3.wav,4,4,4,4,5,1
6693dc70_8,data/audio/6693dc70_8.wav,4,4,4,5,4,1
6693dc70_9,data/audio/6693dc70_9.wav,3,2,4,5,5,1
6a09e010_13,data/audio/6a09e010_13.wav,1,2,3,1,2,1
6a09e010_14,data/audio/6a09e010_14.wav,3,4,4,2,2,1
6a09e010_17,data/audio/6a09e010_17.wav,1,2,1,1,1,1
6a09e010_6,data/audio/6a09e010_6.wav,3,2,3,4,4,1
6a09e010_9,data/audio/6a09e010_9.wav,4,4,5,4,5,1
6ad549ad_1,data/audio/6ad549ad_1.wav,1,1,1,2,1,1
73c40361_1,data/audio/73c40361_1.wav,5,4,5,5,4,1
73c40361_2,data/audio/73c40361_2.wav,4,3,4,3,4,1
73c40361_5,data/audio/73c40361_5.wav,2,2,3,3,2,1
73c40361_9,data/audio/73c40361_9.wav,4,3,4,3,4,1
7728d41e_0,data/audio/7728d41e_0.wav,4,4,4,4,3,1
7728d41e_4,data/audio/7728d41e_4.wav,2,4,4,3,1,1
7728d41e_7,data/audio/7728d41e_7.wav,2,2,2,2,2,1
77dbaa3e_12,data/audio/77dbaa3e_12.wav,4,4,4,4,5,1
77dbaa3e_13,data/audio/77dbaa3e_13.wav,4,4,3,5,4,1
77dbaa3e_14,data/audio/77dbaa3e_14.wav,3,3,3,5,2,1
77dbaa3e_16,data/audio/77dbaa3e_16.wav,3,4,3,3,4,1
77dbaa3e_20,data/audio/77dbaa3e_20.wav,4,3,5,4,4,1
77dbaa3e_25,data/audio/77dbaa3e_25.wav,4,4,4,5,4,1
7f4d9046_0,data/audio/7f4d9046_0.wav,2,1,1,2,4,1
7f4d9046_17,data/audio/7f4d9046_17.wav,2,2,2,1,1,1
7f4d9046_6,data/audio/7f4d9046_6.wav,3,2,3,5,3,1
8000ae14_0,data/audio/8000ae14_0.wav,5,5,4,5,5,1
80753fc3_10,data/audio/80753fc3_10.wav,3,2,4,4,4,1
80753fc3_12,data/audio/80753fc3_12.wav,3,3,5,4,3,1
80753fc3_15,data/audio/80753fc3_15.wav,2,2,3,2,2,1
80753fc3_2,data/audio/80753fc3_2.wav,4,5,4,3,4,1
80753fc3_22,data/audio/80753fc3_22.wav,4,3,3,5,4,1
80753fc3_24,data/audio/80753fc3_24.wav,3,5,4,5,5,1
80753fc3_5,data/audio/80753fc3_5.wav,4,3,4,3,3,1
82f4bf36_11,data/audio/82f4bf36_11.wav,5,5,5,4,4,1
82f4bf36_8,data/audio/82f4bf36_8.wav,4,4,4,5,5,1
8447dad3_14,data/audio/8447dad3_14.wav,4,4,4,4,2,1
8447dad3_2,data/audio/8447dad3_2.wav,4,5,4,4,4,1
8447dad3_8,data/audio/8447dad3_8.wav,4,4,4,4,4,1
8ab19718_1,data/audio/8ab19718_1.wav,2,2,3,5,3,1
8ab19718_2,data/audio/8ab19718_2.wav,2,2,2,1,2,1
8ab19718_9,data/audio/8ab19718_9.wav,2,2,2,2,4,1
8b993d14_2,data/audio/8b993d14_2.wav,5,5,5,5,5,1
8b993d14_21,data/audio/8b993d14_21.wav,4,3,5,5,5,1
8f355ec0_0,data/audio/8f355ec0_0.wav,3,2,2,2,4,1
8f355ec0_15,data/audio/8f355ec0_15.wav,4,4,4,4,4,1
8f355ec0_22,data/audio/8f355ec0_22.wav,1,3,1,3,1,1
8f355ec0_24,data/audio/8f355ec0_24.wav,4,4,4,3,3,1
8f355ec0_8,data/audio/8f355ec0_8.wav,3,3,3,4,4,1
96920d9d_0,data/audio/96920d9d_0.wav,5,4,5,5,5,1
98c36515_0,data/audio/98c36515_0.wav,3,3,3,3,2,1
98c36515_1,data/audio/98c36515_1.wav,3,3,3,4,2,1
98c36515_3,data/audio/98c36515_3.wav,3,3,4,4,4,1
9fe9e677_0,data/audio/9fe9e677_0.wav,3,2,3,2,3,1
9fe9e677_1,data/audio/9fe9e677_1.wav,3,3,4,4,3,1
9fe9e677_2,data/audio/9fe9e677_2.wav,3,3,4,3,3,1
9fe9e677_3,data/audio/9fe9e677_3.wav,3,3,4,4,3,1
9fe9e677_4,data/audio/9fe9e677_4.wav,2,2,4,3,3,1
9fe9e677_5,data/audio/9fe9e677_5.wav,2,2,3,4,3,1
9fe9e677_6,data/audio/9fe9e677_6.wav,3,2,3,3,3,1
9fe9e677_7,data/audio/9fe9e677_7.wav,2,3,3,2,3,1
9fe9e677_8,data/audio/9fe9e677_8.wav,2,3,3,2,3,1
9fe9e677_9,data/audio/9fe9e677_9.wav,2,3,2,1,3,1
a16b4b27_0,data/audio/a16b4b27_0.wav,2,3,2,4,2,1
a16b4b27_2,data/audio/a16b4b27_2.wav,4,3,3,4,4,1
a16b4b27_3,data/audio/a16b4b27_3.wav,4,3,4,4,4,1
a16b4b27_8,data/audio/a16b4b27_8.wav,5,5,5,5,5,1
a5d5e961_0,data/audio/a5d5e961_0.wav,2,1,2,2,1,1
a5d5e961_1,data/audio/a5d5e961_1.wav,2,2,2,2,2,1
a5d5e961_2,data/audio/a5d5e961_2.wav,1,1,1,2,2,1
a5d5e961_3,data/audio/a5d5e961_3.wav,1,1,2,2,1,1
a5d5e961_4,data/audio/a5d5e961_4.wav,1,1,2,1,1,1
a84845ab_0,data/audio/a84845ab_0.wav,3,2,3,4,2,1
a84845ab_1,data/audio/a84845ab_1.wav,4,4,4,4,5,1
a9a9082e_3,data/audio/a9a9082e_3.wav,4,4,4,4,4,1
a9a9082e_5,data/audio/a9a9082e_5.wav,5,4,5,5,5,1
a9a9082e_6,data/audio/a9a9082e_6.wav,4,4,4,3,3,1
aecb3945_17,data/audio/aecb3945_17.wav,5,5,5,5,4,1
aecb3945_18,data/audio/aecb3945_18.wav,4,4,4,4,4,1
aecb3945_20,data/audio/aecb3945_20.wav,4,5,5,4,4,1
aecb3945_21,data/audio/aecb3945_21.wav,4,5,5,4,4,1
aecb3945_38,data/audio/aecb3945_38.wav,4,4,4,5,2,1
aecb3945_39,data/audio/aecb3945_39.wav,4,5,4,4,3,1
aecb3945_46,data/audio/aecb3945_46.wav,3,2,3,3,2,1
b69fa6c8_0,data/audio/b69fa6c8_0.wav,5,5,4,5,5,1
bb36f796_0,data/audio/bb36f796_0.wav,1,2,1,1,1,1
bb36f796_1,data/audio/bb36f796_1.wav,1,2,2,2,1,1
bb36f796_2,data/audio/bb36f796_2.wav,1,2,1,2,1,1
bb36f796_3,data/audio/bb36f796_3.wav,1,2,1,2,1,1
bc679414_1,data/audio/bc679414_1.wav,5,5,5,5,5,1
bc679414_3,data/audio/bc679414_3.wav,5,5,4,5,4,1
bcc0a66c_2,data/audio/bcc0a66c_2.wav,2,2,4,1,1,1
be634a7c_13,data/audio/be634a7c_13.wav,2,2,3,3,3,1
be634a7c_15,data/audio/be634a7c_15.wav,4,4,4,4,2,1
be634a7c_18,data/audio/be634a7c_18.wav,3,3,4,4,3,1
be634a7c_4,data/audio/be634a7c_4.wav,3,3,3,4,3,1
c2da0567_2,data/audio/c2da0567_2.wav,4,4,4,5,4,1
c734fdb8_19,data/audio/c734fdb8_19.wav,3,3,4,5,4,1
c734fdb8_21,data/audio/c734fdb8_21.wav,4,4,4,4,3,1
c734fdb8_28,data/audio/c734fdb8_28.wav,5,5,5,5,5,1
c734fdb8_40,data/audio/c734fdb8_40.wav,2,3,4,4,2,1
c734fdb8_41,data/audio/c734fdb8_41.wav,5,5,4,5,5,1
c734fdb8_44,data/audio/c734fdb8_44.wav,3,2,4,3,4,1
c734fdb8_5,data/audio/c734fdb8_5.wav,5,5,4,5,5,1
c734fdb8_6,data/audio/c734fdb8_6.wav,2,2,1,3,3,1
cf94ced3_14,data/audio/cf94ced3_14.wav,4,4,5,4,3,1
cf94ced3_5,data/audio/cf94ced3_5.wav,3,3,4,2,3,1
cf94ced3_8,data/audio/cf94ced3_8.wav,4,4,4,4,4,1
d134069e_15,data/audio/d134069e_15.wav,5,5,5,5,4,1
d134069e_22,data/audio/d134069e_22.wav,5,4,4,5,5,1
d134069e_5,data/audio/d134069e_5.wav,4,4,4,5,5,1
d134069e_7,data/audio/d134069e_7.wav,5,4,5,5,5,1
d1a15fe5_0,data/audio/d1a15fe5_0.wav,4,3,3,4,5,1
d1a15fe5_8,data/audio/d1a15fe5_8.wav,5,5,4,5,5,1
d25af788_5,data/audio/d25af788_5.wav,1,1,1,4,2,1
d8206c30_0,data/audio/d8206c30_0.wav,1,1,1,2,1,1
e1a1909a_2,data/audio/e1a1909a_2.wav,4,2,4,4,4,1
e2bf9fb4_13,data/audio/e2bf9fb4_13.wav,2,2,3,2,3,1
e2bf9fb4_19,data/audio/e2bf9fb4_19.wav,2,2,3,2,2,1
e2bf9fb4_21,data/audio/e2bf9fb4_21.wav,4,3,4,4,5,1
e2bf9fb4_24,data/audio/e2bf9fb4_24.wav,5,5,4,5,5,1
e2bf9fb4_26,data/audio/e2bf9fb4_26.wav,2,4,1,4,3,1
e2bf9fb4_30,data/audio/e2bf9fb4_30.wav,2,3,3,3,2,1
e2bf9fb4_8,data/audio/e2bf9fb4_8.wav,4,3,2,5,4,1
ea3c8639_0,data/audio/ea3c8639_0.wav,5,5,5,5,5,1
ea3c8639_7,data/audio/ea3c8639_7.wav,5,5,5,5,5,1
ea3c8639_9,data/audio/ea3c8639_9.wav,3,4,2,5,3,1
ea7a0339_15,data/audio/ea7a0339_15.wav,3,3,3,4,4,1
ea7a0339_17,data/audio/ea7a0339_17.wav,5,5,5,5,5,1
ea7a0339_2,data/audio/ea7a0339_2.wav,3,2,3,5,3,1
ea7a0339_25,data/audio/ea7a0339_25.wav,4,3,2,3,3,1
ea7a0339_3,data/audio/ea7a0339_3.wav,2,2,1,4,3,1
ea7a0339_4,data/audio/ea7a0339_4.wav,5,4,4,4,5,1
ea7a0339_6,data/audio/ea7a0339_6.wav,4,4,4,5,4,1
ea7a0339_8,data/audio/ea7a0339_8.wav,4,3,4,5,5,1
eaa19055_2,data/audio/eaa19055_2.wav,3,5,4,5,4,1
eaa19055_4,data/audio/eaa19055_4.wav,5,5,5,4,4,1
ee8120e7_2,data/audio/ee8120e7_2.wav,1,2,1,2,2,1
f02a1cbc_0,data/audio/f02a1cbc_0.wav,2,2,2,2,1,1
f7e17973_0,data/audio/f7e17973_0.wav,1,1,1,1,2,1
f7e17973_1,data/audio/f7e17973_1.wav,2,2,2,2,2,1
fa454b35_13,data/audio/fa454b35_13.wav,2,1,1,3,2,1
fa7f4981_0,data/audio/fa7f4981_0.wav,2,2,3,4,3,1
fa7f4981_1,data/audio/fa7f4981_1.wav,3,2,3,4,4,1
fa7f4981_2,data/audio/fa7f4981_2.wav,2,2,3,4,3,1
fa7f4981_3,data/audio/fa7f4981_3.wav,2,2,2,4,3,1
fbeda344_0,data/audio/fbeda344_0.wav,1,1,1,2,1,1
fcc7433b_12,data/audio/fcc7433b_12.wav,4,2,3,4,3,1
fcc7433b_16,data/audio/fcc7433b_16.wav,4,5,5,4,3,1
fcc7433b_21,data/audio/fcc7433b_21.wav,2,1,2,2,2,1
fcc7433b_4,data/audio/fcc7433b_4.wav,4,2,4,3,4,1
fcf4a449_3,data/audio/fcf4a449_3.wav,2,2,2,3,2,1
fcf4a449_4,data/audio/fcf4a449_4.wav,2,2,3,2,2,1
fcf4a449_5,data/audio/fcf4a449_5.wav,2,2,3,3,3,1
fcf4a449_6,data/audio/fcf4a449_6.wav,2,2,2,2,2,1
c734fdb8_33,data/audio/c734fdb8_33.wav,0,0,0,0,0,0
7728d41e_22,data/audio/7728d41e_22.wav,0,0,0,0,0,0
5d37668b_4,data/audio/5d37668b_4.wav,0,0,0,0,0,0
499e4ffc_5,data/audio/499e4ffc_5.wav,0,0,0,0,0,0
103760c9_14,data/audio/103760c9_14.wav,0,0,0,0,0,0
8ba4783c_0,data/audio/8ba4783c_0.wav,0,0,0,0,0,0
3ced077e_34,data/audio/3ced077e_34.wav,0,0,0,0,0,0
73c40361_21,data/audio/73c40361_21.wav,0,0,0,0,0,0
c734fdb8_3,data/audio/c734fdb8_3.wav,0,0,0,0,0,0
c734fdb8_9,data/audio/c734fdb8_9.wav,0,0,0,0,0,0
7728d41e_5,data/audio/7728d41e_5.wav,0,0,0,0,0,0
c734fdb8_26,data/audio/c734fdb8_26.wav,0,0,0,0,0,0
3ced077e_15,data/audio/3ced077e_15.wav,0,0,0,0,0,0
499e4ffc_4,data/audio/499e4ffc_4.wav,0,0,0,0,0,0
8b993d14_17,data/audio/8b993d14_17.wav,0,0,0,0,0,0
337d1d8f_4,data/audio/337d1d8f_4.wav,0,0,0,0,0,0
3663ffcf_24,data/audio/3663ffcf_24.wav,0,0,0,0,0,0
c734fdb8_23,data/audio/c734fdb8_23.wav,0,0,0,0,0,0
73c40361_30,data/audio/73c40361_30.wav,0,0,0,0,0,0
3663ffcf_8,data/audio/3663ffcf_8.wav,0,0,0,0,0,0
c734fdb8_43,data/audio/c734fdb8_43.wav,0,0,0,0,0,0
fcc7433b_19,data/audio/fcc7433b_19.wav,0,0,0,0,0,0
3663ffcf_11,data/audio/3663ffcf_11.wav,0,0,0,0,0,0
73c40361_4,data/audio/73c40361_4.wav,0,0,0,0,0,0
3663ffcf_20,data/audio/3663ffcf_20.wav,0,0,0,0,0,0
1c10e3b7_2,data/audio/1c10e3b7_2.wav,0,0,0,0,0,0
3ced077e_22,data/audio/3ced077e_22.wav,0,0,0,0,0,0
7728d41e_24,data/audio/7728d41e_24.wav,0,0,0,0,0,0
e1a1909a_0,data/audio/e1a1909a_0.wav,0,0,0,0,0,0
77dbaa3e_7,data/audio/77dbaa3e_7.wav,0,0,0,0,0,0
ea7a0339_13,data/audio/ea7a0339_13.wav,0,0,0,0,0,0
c734fdb8_28,data/audio/c734fdb8_28.wav,0,0,0,0,0,0
7728d41e_7,data/audio/7728d41e_7.wav,0,0,0,0,0,0
5d37668b_11,data/audio/5d37668b_11.wav,0,0,0,0,0,0
aecb3945_29,data/audio/aecb3945_29.wav,0,0,0,0,0,0
7f4d9046_15,data/audio/7f4d9046_15.wav,0,0,0,0,0,0
c734fdb8_8,data/audio/c734fdb8_8.wav,0,0,0,0,0,0
476d6fc7_0,data/audio/476d6fc7_0.wav,0,0,0,0,0,0
5d37668b_40,data/audio/5d37668b_40.wav,0,0,0,0,0,0
7728d41e_18,data/audio/7728d41e_18.wav,0,0,0,0,0,0
3ced077e_33,data/audio/3ced077e_33.wav,0,0,0,0,0,0
7728d41e_11,data/audio/7728d41e_11.wav,0,0,0,0,0,0
3ea977b6_17,data/audio/3ea977b6_17.wav,0,0,0,0,0,0
fa454b35_16,data/audio/fa454b35_16.wav,0,0,0,0,0,0
3ced077e_4,data/audio/3ced077e_4.wav,0,0,0,0,0,0
77dbaa3e_24,data/audio/77dbaa3e_24.wav,0,0,0,0,0,0
fcc7433b_24,data/audio/fcc7433b_24.wav,0,0,0,0,0,0
e2bf9fb4_9,data/audio/e2bf9fb4_9.wav,0,0,0,0,0,0
1c10e3b7_19,data/audio/1c10e3b7_19.wav,0,0,0,0,0,0
77dbaa3e_6,data/audio/77dbaa3e_6.wav,0,0,0,0,0,0
8f355ec0_1,data/audio/8f355ec0_1.wav,0,0,0,0,0,0
8b993d14_18,data/audio/8b993d14_18.wav,0,0,0,0,0,0
4ca22ca1_3,data/audio/4ca22ca1_3.wav,0,0,0,0,0,0
337d1d8f_2,data/audio/337d1d8f_2.wav,0,0,0,0,0,0
648d870e_1,data/audio/648d870e_1.wav,0,0,0,0,0,0
ab1766ec_1,data/audio/ab1766ec_1.wav,0,0,0,0,0,0
16942b49_7,data/audio/16942b49_7.wav,0,0,0,0,0,0
3ced077e_5,data/audio/3ced077e_5.wav,0,0,0,0,0,0
77dbaa3e_9,data/audio/77dbaa3e_9.wav,0,0,0,0,0,0
ea7a0339_10,data/audio/ea7a0339_10.wav,0,0,0,0,0,0
c734fdb8_32,data/audio/c734fdb8_32.wav,0,0,0,0,0,0
570eaa61_1,data/audio/570eaa61_1.wav,0,0,0,0,0,0
7728d41e_23,data/audio/7728d41e_23.wav,0,0,0,0,0,0
337d1d8f_0,data/audio/337d1d8f_0.wav,0,0,0,0,0,0
fcc7433b_25,data/audio/fcc7433b_25.wav,0,0,0,0,0,0
8f355ec0_7,data/audio/8f355ec0_7.wav,0,0,0,0,0,0
3663ffcf_15,data/audio/3663ffcf_15.wav,0,0,0,0,0,0
3ced077e_8,data/audio/3ced077e_8.wav,0,0,0,0,0,0
337d1d8f_11,data/audio/337d1d8f_11.wav,0,0,0,0,0,0
c734fdb8_35,data/audio/c734fdb8_35.wav,0,0,0,0,0,0
16942b49_17,data/audio/16942b49_17.wav,0,0,0,0,0,0
34bc6a86_0,data/audio/34bc6a86_0.wav,0,0,0,0,0,0
aecb3945_35,data/audio/aecb3945_35.wav,0,0,0,0,0,0
e2bf9fb4_30,data/audio/e2bf9fb4_30.wav,0,0,0,0,0,0
cf94ced3_7,data/audio/cf94ced3_7.wav,0,0,0,0,0,0
3663ffcf_6,data/audio/3663ffcf_6.wav,0,0,0,0,0,0
ea3c8639_6,data/audio/ea3c8639_6.wav,0,0,0,0,0,0
c734fdb8_39,data/audio/c734fdb8_39.wav,0,0,0,0,0,0
5d37668b_17,data/audio/5d37668b_17.wav,0,0,0,0,0,0
be634a7c_21,data/audio/be634a7c_21.wav,0,0,0,0,0,0
3ced077e_28,data/audio/3ced077e_28.wav,0,0,0,0,0,0
a16b4b27_11,data/audio/a16b4b27_11.wav,0,0,0,0,0,0
13db7043_0,data/audio/13db7043_0.wav,0,0,0,0,0,0
7f4d9046_11,data/audio/7f4d9046_11.wav,0,0,0,0,0,0
16942b49_23,data/audio/16942b49_23.wav,0,0,0,0,0,0
c734fdb8_24,data/audio/c734fdb8_24.wav,0,0,0,0,0,0
6693dc70_1,data/audio/6693dc70_1.wav,0,0,0,0,0,0
337d1d8f_13,data/audio/337d1d8f_13.wav,0,0,0,0,0,0
8b993d14_4,data/audio/8b993d14_4.wav,0,0,0,0,0,0
3ea977b6_14,data/audio/3ea977b6_14.wav,0,0,0,0,0,0
77dbaa3e_22,data/audio/77dbaa3e_22.wav,0,0,0,0,0,0
7f4d9046_4,data/audio/7f4d9046_4.wav,0,0,0,0,0,0
8447dad3_18,data/audio/8447dad3_18.wav,0,0,0,0,0,0
fcc7433b_12,data/audio/fcc7433b_12.wav,0,0,0,0,0,0
c2da0567_0,data/audio/c2da0567_0.wav,0,0,0,0,0,0
499e4ffc_27,data/audio/499e4ffc_27.wav,0,0,0,0,0,0
fa454b35_2,data/audio/fa454b35_2.wav,0,0,0,0,0,0
cf94ced3_0,data/audio/cf94ced3_0.wav,0,0,0,0,0,0
c734fdb8_12,data/audio/c734fdb8_12.wav,0,0,0,0,0,0
c2da0567_1,data/audio/c2da0567_1.wav,0,0,0,0,0,0
ea7a0339_17,data/audio/ea7a0339_17.wav,0,0,0,0,0,0
3663ffcf_13,data/audio/3663ffcf_13.wav,0,0,0,0,0,0
5d37668b_8,data/audio/5d37668b_8.wav,0,0,0,0,0,0
