id,path,overall,intonation,tone,timing,technique,is_valid
648d870e_8,data/audio/648d870e_8.wav,3,3,4,5,4,1
6618fdad_0,data/audio/6618fdad_0.wav,4,5,4,3,2,1
6693dc70_3,data/audio/6693dc70_3.wav,4,4,4,4,5,1
6693dc70_8,data/audio/6693dc70_8.wav,5,5,4,5,5,1
6693dc70_9,data/audio/6693dc70_9.wav,3,2,4,5,5,1
6a09e010_13,data/audio/6a09e010_13.wav,1,2,3,1,2,1
6a09e010_17,data/audio/6a09e010_17.wav,1,2,1,1,1,1
6a09e010_6,data/audio/6a09e010_6.wav,3,2,3,4,4,1
6ad549ad_1,data/audio/6ad549ad_1.wav,1,1,1,2,1,1
73c40361_1,data/audio/73c40361_1.wav,5,4,5,5,4,1
73c40361_2,data/audio/73c40361_2.wav,4,3,4,3,4,1
73c40361_5,data/audio/73c40361_5.wav,2,2,3,3,2,1
73c40361_9,data/audio/73c40361_9.wav,4,4,4,3,4,1
7728d41e_7,data/audio/7728d41e_7.wav,2,2,2,2,2,1
77dbaa3e_12,data/audio/77dbaa3e_12.wav,4,4,4,4,5,1
77dbaa3e_13,data/audio/77dbaa3e_13.wav,4,4,3,5,4,1
77dbaa3e_14,data/audio/77dbaa3e_14.wav,3,3,3,5,2,1
77dbaa3e_16,data/audio/77dbaa3e_16.wav,3,4,3,3,4,1
77dbaa3e_20,data/audio/77dbaa3e_20.wav,4,3,5,4,4,1
77dbaa3e_25,data/audio/77dbaa3e_25.wav,4,4,3,5,4,1
7f4d9046_0,data/audio/7f4d9046_0.wav,2,1,1,2,4,1
7f4d9046_17,data/audio/7f4d9046_17.wav,2,2,2,1,1,1
7f4d9046_6,data/audio/7f4d9046_6.wav,3,2,3,5,3,1
80753fc3_10,data/audio/80753fc3_10.wav,3,2,4,4,4,1
80753fc3_12,data/audio/80753fc3_12.wav,3,3,5,4,3,1
80753fc3_15,data/audio/80753fc3_15.wav,2,2,3,2,2,1
80753fc3_22,data/audio/80753fc3_22.wav,4,3,3,5,4,1
80753fc3_24,data/audio/80753fc3_24.wav,3,5,4,5,5,1
8447dad3_14,data/audio/8447dad3_14.wav,3,4,4,3,2,1
8447dad3_2,data/audio/8447dad3_2.wav,4,5,4,4,4,1
8447dad3_8,data/audio/8447dad3_8.wav,4,4,4,3,4,1
8b993d14_21,data/audio/8b993d14_21.wav,4,3,5,5,5,1
8f355ec0_0,data/audio/8f355ec0_0.wav,3,2,2,2,4,1
8f355ec0_22,data/audio/8f355ec0_22.wav,1,3,1,3,1,1
8f355ec0_24,data/audio/8f355ec0_24.wav,4,4,4,3,3,1
8f355ec0_8,data/audio/8f355ec0_8.wav,2,2,2,4,4,1
96920d9d_0,data/audio/96920d9d_0.wav,5,4,5,5,5,1
98c36515_0,data/audio/98c36515_0.wav,2,2,2,2,2,1
98c36515_1,data/audio/98c36515_1.wav,3,3,3,4,2,1
a16b4b27_0,data/audio/a16b4b27_0.wav,2,3,2,4,2,1
a16b4b27_2,data/audio/a16b4b27_2.wav,4,3,3,4,4,1
a16b4b27_3,data/audio/a16b4b27_3.wav,4,3,4,4,4,1
a16b4b27_8,data/audio/a16b4b27_8.wav,5,5,5,5,5,1
a5d5e961_0,data/audio/a5d5e961_0.wav,2,2,2,2,1,1
a84845ab_0,data/audio/a84845ab_0.wav,3,2,3,4,2,1
a84845ab_1,data/audio/a84845ab_1.wav,4,4,4,4,5,1
aecb3945_46,data/audio/aecb3945_46.wav,3,2,3,3,2,1
b69fa6c8_0,data/audio/b69fa6c8_0.wav,5,5,4,5,5,1
be634a7c_13,data/audio/be634a7c_13.wav,2,2,3,3,3,1
be634a7c_18,data/audio/be634a7c_18.wav,3,3,4,4,3,1
c734fdb8_19,data/audio/c734fdb8_19.wav,3,3,4,5,4,1
c734fdb8_40,data/audio/c734fdb8_40.wav,2,3,4,4,2,1
c734fdb8_44,data/audio/c734fdb8_44.wav,3,2,4,3,4,1
c734fdb8_6,data/audio/c734fdb8_6.wav,2,2,1,3,3,1
cf94ced3_14,data/audio/cf94ced3_14.wav,4,4,5,4,3,1
cf94ced3_5,data/audio/cf94ced3_5.wav,3,3,4,2,3,1
d134069e_22,data/audio/d134069e_22.wav,5,4,4,5,5,1
d134069e_5,data/audio/d134069e_5.wav,4,4,4,5,5,1
d134069e_7,data/audio/d134069e_7.wav,5,4,5,5,5,1
d1a15fe5_0,data/audio/d1a15fe5_0.wav,4,3,3,4,5,1
d1a15fe5_8,data/audio/d1a15fe5_8.wav,5,5,4,5,5,1
d25af788_5,data/audio/d25af788_5.wav,1,1,1,4,2,1
d8206c30_0,data/audio/d8206c30_0.wav,1,1,1,2,1,1
e1a1909a_2,data/audio/e1a1909a_2.wav,4,2,4,4,4,1
e2bf9fb4_21,data/audio/e2bf9fb4_21.wav,4,3,4,4,5,1
e2bf9fb4_26,data/audio/e2bf9fb4_26.wav,2,4,1,4,3,1
e2bf9fb4_8,data/audio/e2bf9fb4_8.wav,4,3,2,5,4,1
ea7a0339_15,data/audio/ea7a0339_15.wav,3,3,3,4,4,1
ea7a0339_17,data/audio/ea7a0339_17.wav,5,5,5,5,5,1
ea7a0339_2,data/audio/ea7a0339_2.wav,3,2,3,5,3,1
ea7a0339_25,data/audio/ea7a0339_25.wav,4,3,2,3,3,1
ea7a0339_3,data/audio/ea7a0339_3.wav,2,2,1,4,3,1
ea7a0339_4,data/audio/ea7a0339_4.wav,5,4,4,4,5,1
ea7a0339_8,data/audio/ea7a0339_8.wav,4,3,4,5,5,1
eaa19055_2,data/audio/eaa19055_2.wav,3,5,4,5,4,1
ee8120e7_2,data/audio/ee8120e7_2.wav,1,2,1,2,2,1
f7e17973_0,data/audio/f7e17973_0.wav,1,1,1,1,2,1
f7e17973_1,data/audio/f7e17973_1.wav,2,2,2,2,2,1
fa454b35_13,data/audio/fa454b35_13.wav,2,1,1,3,2,1
fa7f4981_1,data/audio/fa7f4981_1.wav,4,2,3,4,4,1
fbeda344_0,data/audio/fbeda344_0.wav,1,1,1,2,1,1
73c40361_21,data/audio/73c40361_21.wav,0,0,0,0,0,0
c734fdb8_33,data/audio/c734fdb8_33.wav,0,0,0,0,0,0
77dbaa3e_6,data/audio/77dbaa3e_6.wav,0,0,0,0,0,0
8f355ec0_1,data/audio/8f355ec0_1.wav,0,0,0,0,0,0
8b993d14_18,data/audio/8b993d14_18.wav,0,0,0,0,0,0
4ca22ca1_3,data/audio/4ca22ca1_3.wav,0,0,0,0,0,0
337d1d8f_2,data/audio/337d1d8f_2.wav,0,0,0,0,0,0
648d870e_1,data/audio/648d870e_1.wav,0,0,0,0,0,0
16942b49_7,data/audio/16942b49_7.wav,0,0,0,0,0,0
3ced077e_5,data/audio/3ced077e_5.wav,0,0,0,0,0,0
77dbaa3e_9,data/audio/77dbaa3e_9.wav,0,0,0,0,0,0
ea7a0339_10,data/audio/ea7a0339_10.wav,0,0,0,0,0,0
c734fdb8_32,data/audio/c734fdb8_32.wav,0,0,0,0,0,0
570eaa61_1,data/audio/570eaa61_1.wav,0,0,0,0,0,0
7728d41e_23,data/audio/7728d41e_23.wav,0,0,0,0,0,0
337d1d8f_0,data/audio/337d1d8f_0.wav,0,0,0,0,0,0
8f355ec0_7,data/audio/8f355ec0_7.wav,0,0,0,0,0,0
3663ffcf_15,data/audio/3663ffcf_15.wav,0,0,0,0,0,0
3ced077e_8,data/audio/3ced077e_8.wav,0,0,0,0,0,0
337d1d8f_11,data/audio/337d1d8f_11.wav,0,0,0,0,0,0
c734fdb8_35,data/audio/c734fdb8_35.wav,0,0,0,0,0,0
16942b49_17,data/audio/16942b49_17.wav,0,0,0,0,0,0
34bc6a86_0,data/audio/34bc6a86_0.wav,0,0,0,0,0,0
aecb3945_35,data/audio/aecb3945_35.wav,0,0,0,0,0,0
e2bf9fb4_30,data/audio/e2bf9fb4_30.wav,0,0,0,0,0,0
cf94ced3_7,data/audio/cf94ced3_7.wav,0,0,0,0,0,0
3663ffcf_6,data/audio/3663ffcf_6.wav,0,0,0,0,0,0
c734fdb8_39,data/audio/c734fdb8_39.wav,0,0,0,0,0,0
5d37668b_17,data/audio/5d37668b_17.wav,0,0,0,0,0,0
8b993d14_17,data/audio/8b993d14_17.wav,0,0,0,0,0,0
be634a7c_21,data/audio/be634a7c_21.wav,0,0,0,0,0,0
3ced077e_28,data/audio/3ced077e_28.wav,0,0,0,0,0,0
a16b4b27_11,data/audio/a16b4b27_11.wav,0,0,0,0,0,0
13db7043_0,data/audio/13db7043_0.wav,0,0,0,0,0,0
7f4d9046_11,data/audio/7f4d9046_11.wav,0,0,0,0,0,0
16942b49_23,data/audio/16942b49_23.wav,0,0,0,0,0,0
c734fdb8_24,data/audio/c734fdb8_24.wav,0,0,0,0,0,0
6693dc70_1,data/audio/6693dc70_1.wav,0,0,0,0,0,0
337d1d8f_13,data/audio/337d1d8f_13.wav,0,0,0,0,0,0
8b993d14_4,data/audio/8b993d14_4.wav,0,0,0,0,0,0
77dbaa3e_22,data/audio/77dbaa3e_22.wav,0,0,0,0,0,0
7f4d9046_4,data/audio/7f4d9046_4.wav,0,0,0,0,0,0
8447dad3_18,data/audio/8447dad3_18.wav,0,0,0,0,0,0
fa454b35_2,data/audio/fa454b35_2.wav,0,0,0,0,0,0
cf94ced3_0,data/audio/cf94ced3_0.wav,0,0,0,0,0,0
c734fdb8_12,data/audio/c734fdb8_12.wav,0,0,0,0,0,0
ea7a0339_17,data/audio/ea7a0339_17.wav,0,0,0,0,0,0
3663ffcf_13,data/audio/3663ffcf_13.wav,0,0,0,0,0,0
5d37668b_8,data/audio/5d37668b_8.wav,0,0,0,0,0,0
73c40361_4,data/audio/73c40361_4.wav,0,0,0,0,0,0
c734fdb8_28,data/audio/c734fdb8_28.wav,0,0,0,0,0,0
7728d41e_7,data/audio/7728d41e_7.wav,0,0,0,0,0,0
5d37668b_11,data/audio/5d37668b_11.wav,0,0,0,0,0,0
aecb3945_29,data/audio/aecb3945_29.wav,0,0,0,0,0,0
7f4d9046_15,data/audio/7f4d9046_15.wav,0,0,0,0,0,0
c734fdb8_8,data/audio/c734fdb8_8.wav,0,0,0,0,0,0
476d6fc7_0,data/audio/476d6fc7_0.wav,0,0,0,0,0,0
5d37668b_40,data/audio/5d37668b_40.wav,0,0,0,0,0,0
7728d41e_18,data/audio/7728d41e_18.wav,0,0,0,0,0,0
3ced077e_33,data/audio/3ced077e_33.wav,0,0,0,0,0,0
7728d41e_11,data/audio/7728d41e_11.wav,0,0,0,0,0,0
fa454b35_16,data/audio/fa454b35_16.wav,0,0,0,0,0,0
3ced077e_4,data/audio/3ced077e_4.wav,0,0,0,0,0,0
77dbaa3e_24,data/audio/77dbaa3e_24.wav,0,0,0,0,0,0
e2bf9fb4_9,data/audio/e2bf9fb4_9.wav,0,0,0,0,0,0
