sample_id,user_id,overall,intonation,tone,timing,technique,rejected,timestamp
73c40361_4,Dominicers,,,,,,True,2025-12-10T15:26:21.375456
c734fdb8_5,Dominicers,5,5,4,5,5,False,2025-12-10T15:26:34.127416
e2bf9fb4_19,Dominicers,2,2,3,2,2,False,2025-12-10T15:26:56.980968
3663ffcf_20,Dominicers,,,,,,True,2025-12-10T15:27:03.286699
4ca22ca1_21,Dominicers,4,4,4,4,3,False,2025-12-10T15:27:24.867652
be634a7c_4,Dominicers,3,3,3,4,3,False,2025-12-10T15:27:52.162322
8f355ec0_8,Dominicers,4,4,4,4,3,False,2025-12-10T15:28:13.714710
aecb3945_38,Dominicers,4,4,4,5,2,False,2025-12-10T15:29:15.663559
1c10e3b7_2,Dominicers,,,,,,True,2025-12-10T15:29:19.733362
103760c9_18,Dominicers,3,4,4,3,3,False,2025-12-10T15:29:43.298116
6a09e010_14,Dominicers,3,4,4,2,2,False,2025-12-10T15:30:09.738432
a9a9082e_6,Dominicers,4,4,4,3,3,False,2025-12-10T15:31:15.134383
499e4ffc_2,Dominicers,2,2,1,2,2,False,2025-12-10T15:31:34.502781
e2bf9fb4_24,Dominicers,5,5,4,5,5,False,2025-12-10T15:31:51.170412
3ced077e_22,Dominicers,,,,,,True,2025-12-10T15:31:59.626330
1051913f_1,Dominicers,5,5,5,4,5,False,2025-12-10T15:32:22.765664
6a09e010_9,Dominicers,4,4,5,4,5,False,2025-12-10T15:32:58.747587
c2da0567_2,Dominicers,5,5,5,5,5,False,2025-12-10T15:33:11.372631
648d870e_15,Dominicers,5,5,4,5,5,False,2025-12-10T15:33:47.301228
476d6fc7_9,Dominicers,3,3,3,4,2,False,2025-12-10T15:34:15.542373
bc679414_3,Dominicers,5,5,4,5,4,False,2025-12-10T15:34:38.079543
aecb3945_18,Dominicers,4,4,4,4,4,False,2025-12-10T15:35:03.376729
a9a9082e_3,Dominicers,5,5,5,4,4,False,2025-12-10T15:35:26.663986
aecb3945_20,Dominicers,4,5,5,4,4,False,2025-12-10T15:35:55.230698
80753fc3_5,Dominicers,4,3,4,3,3,False,2025-12-10T15:36:22.550108
7728d41e_24,Dominicers,,,,,,True,2025-12-10T15:36:38.538863
e1a1909a_0,Dominicers,,,,,,True,2025-12-10T15:36:46.530716
82f4bf36_8,Dominicers,4,4,4,5,5,False,2025-12-10T15:37:08.738076
77dbaa3e_7,Dominicers,,,,,,True,2025-12-10T15:37:13.105806
82f4bf36_11,Dominicers,5,5,5,4,4,False,2025-12-10T15:37:37.917290
